item_id,original_name,display_name,category
206,Arnoldi's Cafe,旅游景点 206,"Breakfast & Brunch, Bocce Ball, Event Planning & Services, Beer, Wine & Spirits, Venues & Event Spaces, Italian, Active Life, Food, Wedding Planning, Restaurants"
195,ZooTampa at Lowry Park,旅游景点 195,"Zoos, Tours, Arts & Entertainment, Hotels & Travel, Active Life"
208,Sustainable Wine Tours,旅游景点 208,"Wine Tours, Hotels & Travel, Tours, Transportation, Wineries, Limos, Food, Arts & Entertainment"
202,Johnny Cash Museum,旅游景点 202,"Travel Services, Music Venues, Hotels & Travel, Restaurants, Cafes, Nightlife, Event Planning & Services, Party & Event Planning, Museums, Arts & Entertainment"
197,Kimpton Hotel Palomar Philadelphia,旅游景点 197,"Wedding Planning, Event Planning & Services, Venues & Event Spaces, Hotels & Travel, Hotels"
207,Lodge On The Desert,旅游景点 207,"Hotels & Travel, Restaurants, American (New), Event Planning & Services, Hotels"
199,Lazydays RV of Tampa,旅游景点 199,"RV Dealers, RV Parks, Automotive, RV Repair, Hotels & Travel, Trailer Dealers, Auto Parts & Supplies, RV Rental"
198,Eldorado Resort Casino,旅游景点 198,"Arts & Entertainment, Hotels, Hotels & Travel, Restaurants, Casinos, Event Planning & Services, Resorts, Venues & Event Spaces"
193,Lambertville Station Restaurant,旅游景点 193,"Party & Event Planning, Hotels & Travel, Hotels, Event Planning & Services, Restaurants, American (Traditional)"
210,The Dali Museum,旅游景点 210,"Museums, Arts & Entertainment, Art Museums, Shopping, Art Galleries"
231,Harbor House Inn,旅游景点 231,"Hotels & Travel, Hotels, Bed & Breakfast, Event Planning & Services"
224,Loews Ventana Canyon Resort,旅游景点 224,"Restaurants, Event Planning & Services, Day Spas, Hotels & Travel, Beauty & Spas, Hotels"
226,Renaissance Nashville,旅游景点 226,"Event Planning & Services, Restaurants, Venues & Event Spaces, Hotels & Travel, Hotels"
230,Dolan Toyota,旅游景点 230,"Body Shops, Automotive, Auto Repair, Auto Parts & Supplies, Car Dealers, Car Rental, Hotels & Travel"
217,The Westin New Orleans,旅游景点 217,"Hotels, Venues & Event Spaces, Hotels & Travel, Event Planning & Services"
227,Four Seasons Resort The Biltmore Santa Barbara,旅游景点 227,"Hotels & Travel, Hotels, Event Planning & Services, Restaurants, Venues & Event Spaces, Resorts"
213,Grand Ole Opry,旅游景点 213,"Performing Arts, Cinema, Tours, Local Flavor, Arts & Entertainment, Historical Tours, Hotels & Travel, Nightlife, Music Venues"
214,Restaurant R'evolution,旅游景点 214,"Event Planning & Services, Hotels, Cajun/Creole, Restaurants, Seafood, Southern, Hotels & Travel"
209,Independence Beer Garden,旅游景点 209,"Bars, Nightlife, American (New), Gastropubs, Food Trucks, Parks, Restaurants, Beer Gardens, Active Life, Barbeque, Food, Beer, Wine & Spirits, American (Traditional)"
216,Audubon Zoo,旅游景点 216,"Active Life, Hotels & Travel, Zoos, Parks, Cinema, Tours, Aquariums, Arts & Entertainment, Planetarium"
221,Hilton New Orleans Riverside,旅游景点 221,"Event Planning & Services, Hotels & Travel, Hotels, Venues & Event Spaces, Restaurants"
228,Confederacy of Cruisers Bike Tours,旅游景点 228,"Food Tours, Local Flavor, Bikes, Bike tours, Sporting Goods, Hotels & Travel, Historical Tours, Active Life, Bike Rentals, Tours, Shopping"
223,The Barnes Foundation,旅游景点 223,"Art Galleries, Education, Arts & Entertainment, Shopping, Art Classes, Museums, Art Museums"
212,The Don CeSar,旅游景点 212,"Hotels & Travel, Hotels, Event Planning & Services, Beauty & Spas, Venues & Event Spaces, Restaurants, American (New), Day Spas"
211,"The Ritz-Carlton, New Orleans",旅游景点 211,"Hotels & Travel, Venues & Event Spaces, Restaurants, Event Planning & Services, Hotels"
218,Sands Regency,旅游景点 218,"Event Planning & Services, Arts & Entertainment, Hotels & Travel, Casinos, Hotels"
222,The Boathouse at Forest Park,旅游景点 222,"Boating, Active Life, Caterers, Local Flavor, Event Planning & Services, Nightlife, American (Traditional), Restaurants, Parks, Bars, American (New)"
215,Club Quarters Philadelphia,旅游景点 215,"Hotels, Event Planning & Services, Hotels & Travel"
225,Jimmy B's Beach Bar,旅游景点 225,"Hotels, Event Planning & Services, Nightlife, Hotels & Travel, American (Traditional), Music Venues, Arts & Entertainment, Caterers, Beer Bar, Bars, Restaurants"
219,The George Jones,旅游景点 219,"Restaurants, Arts & Entertainment, Bars, Nightlife, Museums, Barbeque, American (Traditional)"
229,Haunted History Tours,旅游景点 229,"Tours, Hotels & Travel, Historical Tours, Performing Arts, Arts & Entertainment"
232,Gate 1 Travel,旅游景点 232,"Tours, Travel Services, Hotels & Travel"
220,Arizona-Sonora Desert Museum,旅游景点 220,"Parks, Zoos, Active Life, Botanical Gardens, Museums, Arts & Entertainment"
